VEGA_similarity	sig_id
0.6143295410607306	CPC018_A549_24H:BRD-K06817181-001-01-5:10
0.7800301075933374	CPC016_A549_24H:BRD-K97118047-001-02-0:10
0.07432886063293709	CPC016_A549_24H:BRD-K68264559-045-01-6:10
0.1	CPC010_A549_24H:BRD-K23980805-019-03-4:10
0.31931685041673574	CPC017_A549_24H:BRD-K27737647-300-01-4:10
0.3297530922877655	CPC007_A549_24H:BRD-K27484191-001-07-4:10
0.5024798726438054	LKCP002_A549_24H:K13
0.28301380308094737	CPC010_A549_24H:BRD-K80184735-001-02-8:10
0.4443836100875197	CPC016_A549_24H:BRD-K24675965-001-02-5:10
0.3677775931154158	PBIOA022_A549_24H:C13
0.7352960480205113	CPC009_A549_24H:BRD-K96405393-001-03-0:10
0.6035007956750501	CPC009_A549_24H:BRD-K10855750-001-01-0:10
0.6536294323173154	CPC009_A549_24H:BRD-K94390040-019-01-9:10
0.21058389408264444	CPC009_A549_24H:BRD-K53461563-019-01-4:10
0.32550216532688936	CPC009_A549_24H:BRD-K17739445-019-01-2:10
0.021165447612074284	CPC009_A549_24H:BRD-K68020183-001-01-9:10
0.10837470729316989	CPC009_A549_24H:BRD-K92981876-001-01-4:10
0.26505423198888733	CPC014_A549_24H:BRD-A25337146-003-07-0:10
0.06546372130202105	CPC007_A549_24H:BRD-K73143528-001-04-0:10
0.6026324003547024	CPC007_A549_24H:BRD-K33305493-001-02-9:10
0.9981301159238253	CPC012_A549_24H:BRD-K34966483-001-06-0:10
0.10081521406538851	CPC009_A549_24H:BRD-K37124285-001-04-8:10
0.8212302126692651	CPC007_A549_24H:BRD-K83213280-001-07-0:10
0.11881624726514717	CPC007_A549_24H:BRD-A84909344-001-08-6:10
0.6699140187964361	LUNG001_A549_24H:BRD-K37312348:10
0.6431576030590171	CPC006_A549_24H:BRD-K08478539-001-02-1:10
0.9027169348111993	PBIOA019_A549_24H:K19
0.11394561368051237	CPC013_A549_24H:BRD-K04156788-001-01-7:10
0.3154444660818978	CPC007_A549_24H:BRD-K94035551-001-02-7:10
0.09077976035468571	CPC007_A549_24H:BRD-K56658166-001-06-0:10
0.4073833258044338	CPC014_A549_24H:BRD-K49669041-001-02-7:10
0.9115931735574448	LJP008_A549_24H:H01
0.7815231510618561	CPC009_A549_24H:BRD-K33459729-001-01-2:10
0.7229001004453192	REP.A015_A549_24H:H19
0.533027504862702	CPC017_A549_24H:BRD-K07220430-001-03-6:10
0.8834857423355229	CPC018_A549_24H:BRD-K08619838-300-03-2:10
0.44944179824132835	HOG001_A549_24H:BRD-A19633847-050-20-6:10
0.14968566710063824	CPC018_A549_24H:BRD-K77641333-003-15-6:10
0.8375852231207792	CPC005_A549_24H:BRD-K46211610-003-15-0:10
